"words","Outbreak","Emotional.Effect","Symptom","Hospital.Related","Immune.Reaction","Disease.Relations","Policy","Psychological.Problem","Analysis.of.Transmission","Cardiovascular.System","Protective.Equipment","Anosmia","Respiratory.System","Treatment","Diagnosis","Virus.Analysis","Virus.Defense.Mechanism","Literature.Analysis","Microbiome.","Immune.System"
"funnel",8.42e-08,9.76e-08,1.32e-07,3.23e-08,1.95e-05,3.9e-08,0.000151185,0.00159918,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,2.83e-05,8.7e-08,7.12e-08,4.04e-08,9.11e-08
"gastrointestin",0.00111961,0.000429666,0.00342921,0.00126713,0.00299138,8.2e-05,0.000619389,0.00133769,0.00312231,2.71e-05,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,3.14e-08,0.000426269,0.00044169,0.00406445,9.11e-08
"gender",0.00078291,9.76e-08,1.32e-07,3.23e-08,0.000745161,0.000620502,1.51e-07,1.01e-07,0.000350708,6.75e-08,0.00235426,0.000591508,5.81e-08,0.000123986,0.00681034,0.00412644,0.000426269,7.12e-08,4.04e-08,9.11e-08
"gene",8.42e-08,0.00235296,0.00425008,3.23e-08,2.16e-08,0.00716072,1.51e-07,0.000100671,0.000367404,6.75e-08,3e-08,0.000209921,5.81e-08,0.00622152,4.89e-08,0.00100885,8.7e-08,7.12e-08,0.000610713,0.0146371
"genom",8.42e-08,0.00366119,0.00105931,3.23e-08,2.16e-08,0.00111219,1.51e-07,1.01e-07,8.35e-08,0.00023632,0.000248632,0.000624897,0.000894251,0.00330993,4.89e-08,0.000119455,8.7e-08,7.12e-08,0.00379753,0.017916
"gestat",8.42e-08,9.76e-08,1.32e-07,0.000151955,0.000682526,3.9e-08,1.51e-07,0.00404305,8.35e-08,6.75e-08,0.000125829,4.77e-08,5.81e-08,0.000557628,4.89e-08,3.14e-08,8.7e-08,7.12e-08,4.04e-08,9.11e-08
"ggo",0.00633003,9.76e-08,1.32e-07,3.23e-08,0.000570215,3.9e-08,1.51e-07,1.01e-07,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,3.14e-08,8.7e-08,7.12e-08,4.04e-08,9.11e-08
"glass",0.0105809,9.76e-08,1.32e-07,3.23e-08,2.16e-08,3.52e-05,1.51e-07,1.01e-07,0.000367404,6.75e-08,3e-08,0.000119294,0.000151026,8.85e-08,4.89e-08,0.00137341,0.000200131,0.000783589,0.000469166,9.11e-08
"glove",8.42e-08,9.76e-08,1.32e-07,0.000394384,2.16e-08,3.9e-08,1.51e-07,1.01e-07,8.35e-08,6.75e-08,0.00014979,4.77e-08,5.81e-08,2.66e-05,0.000190855,3.14e-08,8.7e-08,0.00458009,0.000194161,9.11e-08
"glycoprotein",8.42e-08,0.00229438,1.32e-07,3.23e-08,2.16e-08,0.000878052,1.51e-07,1.01e-07,8.35e-08,0.000513073,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,4.09e-05,8.7e-08,7.12e-08,0.000412548,0.00608441
"glycosyl",8.42e-08,9.76e-08,1.32e-07,3.23e-08,2.16e-08,0.000199055,1.51e-07,1.01e-07,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,3.14e-08,0.000443664,7.12e-08,4.04e-08,0.00212232
"googl",8.42e-08,0.000292985,1.32e-07,0.000675602,0.00116417,3.9e-08,0.000589182,0.0101779,0.000551064,6.75e-08,0.00130894,0.000701215,0.000952315,8.85e-08,0.00167327,3.14e-08,8.7e-08,0.000740852,4.04e-08,9.11e-08
"gown",8.42e-08,9.76e-08,1.32e-07,0.000103469,0.00013825,3.9e-08,1.51e-07,1.01e-07,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,3.14e-08,8.7e-08,0.00210845,4.04e-08,9.11e-08
"greater",8.42e-08,0.00071279,0.00251567,0.000853384,0.00441038,0.000780495,1.51e-07,1.01e-07,8.35e-08,6.75e-08,0.00419632,0.00374438,0.00235747,0.000354082,0.00457939,0.00107799,0.000295805,0.00112549,4.04e-08,0.000519262
"ground",0.0133165,9.76e-08,0.000516481,3.23e-08,0.000796997,3.9e-08,0.00104228,0.000492898,0.000667939,6.75e-08,0.000467283,0.00164087,0.000627154,8.85e-08,4.89e-08,0.000364588,0.000374083,0.000527165,4.04e-08,9.11e-08
"ground-glass",0.0203451,9.76e-08,1.32e-07,3.23e-08,0.00026352,3.9e-08,0.00114801,2.02e-05,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,0.00340361,0.000139248,7.12e-08,0.000262913,9.11e-08
"guidanc",8.42e-08,7.82e-05,0.000291406,0.00718887,2.16e-08,3.9e-08,1.51e-07,0.00202157,0.00166972,0.00114758,0.0047714,0.0013833,5.81e-08,0.000610727,0.000528434,0.000873711,0.00154826,0.00256431,0.00227287,9.11e-08
"guillain",8.42e-08,9.76e-08,1.32e-07,3.23e-08,1.3e-05,3.9e-08,1.51e-07,0.000150957,0.00173651,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,3.14e-08,8.7e-08,7.12e-08,0.00012541,9.11e-08
"guillain-barr",8.42e-08,9.76e-08,1.32e-07,3.23e-08,2.16e-08,3.9e-08,1.51e-07,0.000100671,0.00205374,8.11e-05,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,3.14e-08,8.7e-08,7.12e-08,0.00025078,9.11e-08
"gustatori",8.42e-08,9.76e-08,1.32e-07,3.23e-08,2.16e-08,3.9e-08,1.51e-07,1.01e-07,0.00338945,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,0.000156607,0.000336304,8.7e-08,7.12e-08,4.04e-08,9.11e-08
"gut",8.42e-08,9.76e-08,0.00524305,3.23e-08,0.000222484,0.000624404,1.51e-07,1.01e-07,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,3.14e-08,8.7e-08,7.12e-08,4.04e-08,0.000382638
"hcq",8.42e-08,0.000312511,1.32e-07,3.23e-08,0.000194406,3.9e-08,1.51e-07,0.000834838,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,0.000333161,0.00757568,0.000213758,4.04e-08,9.11e-08
"head",8.42e-08,9.76e-08,0.000211968,0.00288009,0.000866112,8.98e-05,1.51e-07,1.01e-07,0.00135249,6.75e-08,0.000509216,1.44e-05,5.81e-08,8.85e-08,4.89e-08,3.14e-08,8.7e-08,0.00383931,4.04e-08,0.000246014
"healthcar",8.42e-08,9.76e-08,0.000715076,0.0221516,0.00209073,0.000491726,1.51e-07,0.00259483,8.35e-08,0.00330086,0.0126039,0.00685908,0.00232844,0.00159306,0.00750018,0.00219994,0.00447934,0.0165323,0.00831894,9.11e-08
"hemoglobin",8.42e-08,9.76e-08,1.32e-07,3.23e-08,2.16e-08,0.000374658,0.00297551,1.01e-07,8.35e-08,0.000546824,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,0.000876854,8.7e-08,0.000135406,0.00025078,9.11e-08
"heparin",8.42e-08,0.000234408,0.000397323,3.23e-08,2.16e-08,0.00015613,1.51e-07,1.01e-07,8.35e-08,0.00326036,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,0.000537439,0.000835055,7.12e-08,4.04e-08,4.56e-05
"high",0.00220546,0.00994851,0.0121807,0.00766727,0.0234406,0.00629832,0.00510509,0.00384191,0.00252124,0.00553513,0.0054573,0.00671599,0.010951,0.00955791,0.0097556,3.14e-08,0.000948124,0.00865438,0.00299678,0.0109573
"high-sensit",8.42e-08,9.76e-08,1.32e-07,3.23e-08,0.000295918,3.9e-08,0.00370047,1.01e-07,8.35e-08,0.000702076,3e-08,4.77e-08,5.86e-06,0.000416031,4.89e-08,0.00018231,8.7e-08,7.12e-08,4.04e-08,9.11e-08
"higher",0.00403206,0.00405171,0.005958,0.00290595,0.017175,0.00436669,0.0231234,0.00567229,0.00121057,0.00476562,0.00453777,0.0038827,0.0101091,0.00369932,0.0184593,0.0108393,8.7e-08,0.00169532,4.04e-08,0.00472728
"hla",8.42e-08,9.76e-08,1.32e-07,3.88e-05,2.16e-08,0.000281003,1.51e-07,1.01e-07,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,3.14e-08,8.7e-08,7.12e-08,4.04e-08,0.00252308
"homeostasi",8.42e-08,9.76e-08,0.00186693,3.23e-08,0.000196566,0.00195898,1.51e-07,1.01e-07,0.000484279,6.75e-08,3e-08,0.000181302,5.86e-06,8.85e-08,4.89e-08,3.14e-08,0.000130551,7.12e-08,4.04e-08,5.47e-05
"hour",0.000698735,9.76e-08,1.32e-07,0.00194916,0.00170628,0.000362951,1.51e-07,1.01e-07,0.000459234,0.000951829,0.0014587,0.000691675,0.00128909,0.00182315,0.00207445,0.000936566,0.00578398,0.00346892,0.000121366,0.000765185
"hrct",0.00250849,9.76e-08,1.32e-07,3.23e-08,0.000136091,3.9e-08,1.51e-07,1.01e-07,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,0.000169739,8.7e-08,7.12e-08,4.04e-08,9.11e-08
"hubei",0.00335024,0.00041014,1.32e-07,3.23e-08,0.00367172,3.9e-08,0.000785526,1.01e-07,8.35e-08,6.75e-08,3e-08,4.77e-08,0.00537683,0.000743475,0.00226036,0.000682004,8.7e-08,7.12e-08,0.00760716,9.2e-06
"humid",8.42e-08,9.76e-08,0.00166833,3.23e-08,0.00013825,3.9e-08,1.51e-07,1.01e-07,8.35e-08,6.75e-08,3e-08,4.77e-08,0.00327489,8.85e-08,4.89e-08,3.14e-08,8.7e-08,0.0011611,1.22e-05,9.11e-08
"hydrogen",8.42e-08,0.00258727,0.000437042,3.23e-08,2.16e-08,3.9e-08,0.000241805,1.01e-07,8.35e-08,6.75e-08,6.02e-06,4.77e-08,5.81e-08,8.85e-08,4.89e-08,3.14e-08,8.7e-08,0.00217968,0.000105189,9.11e-08
"hydrophob",8.42e-08,0.00230415,0.000344365,3.23e-08,2.16e-08,3.9e-08,1.51e-07,1.01e-07,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,3.14e-08,8.7e-08,0.000676746,4.04e-08,0.00112041
"hydroxychloroquin",6.74e-05,0.00360261,1.32e-07,3.23e-08,0.0010173,0.000117107,1.51e-07,0.00133769,8.35e-08,0.00160659,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,0.00281592,0.0246751,0.000584148,0.00262472,9.11e-08
"hygien",0.000117929,9.76e-08,0.000794514,0.00036206,2.16e-08,3.9e-08,1.51e-07,1.01e-07,8.35e-08,6.75e-08,0.00187803,0.000438873,0.00081296,4.43e-05,0.00212337,3.14e-08,8.7e-08,0.0055488,0.00198574,9.11e-08
"hypercoagul",8.42e-08,9.76e-08,1.32e-07,3.23e-08,2.16e-08,0.000425388,1.51e-07,1.01e-07,0.000317315,0.00569713,3e-08,4.82e-06,5.81e-08,8.85e-08,4.89e-08,0.000455728,0.000330595,7.12e-08,4.04e-08,9.11e-08
"hypogeusia",8.42e-08,9.76e-08,1.32e-07,3.23e-08,8.21e-05,3.9e-08,1.51e-07,1.01e-07,0.00211218,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,8.49e-05,8.7e-08,7.12e-08,4.04e-08,9.11e-08
"hyposmia",8.42e-08,9.76e-08,1.32e-07,3.23e-08,2.16e-08,3.9e-08,1.51e-07,1.01e-07,0.00462498,6.75e-08,3e-08,4.82e-06,5.81e-08,8.85e-08,0.000220209,0.000229451,8.7e-08,0.00029211,0.000190117,9.11e-08
"hypoxemia",0.000336783,9.76e-08,1.32e-07,3.23e-08,0.000535658,0.000171739,1.51e-07,1.01e-07,8.35e-08,0.0028216,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,0.00032059,0.000774172,0.000370462,4.04e-08,9.2e-06
"ic50",8.42e-08,0.00223581,0.000463522,3.23e-08,2.16e-08,0.000105401,1.51e-07,1.01e-07,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,3.14e-08,8.7e-08,7.12e-08,4.04e-08,0.000446396
"icu",8.42e-08,9.76e-08,1.32e-07,0.0021722,2.16e-08,0.000265394,1.51e-07,0.000462726,0.000400797,0.00369236,0.000745837,4.77e-08,0.00081296,0.000504529,4.89e-08,0.0084477,0.00180049,0.00175943,0.000323575,9.11e-08
"iga",8.42e-08,9.76e-08,1.32e-07,3.23e-08,0.000291598,0.000253687,0.000996973,1.01e-07,0.000275574,6.75e-08,3e-08,4.77e-08,5.81e-08,0.00309753,4.89e-08,3.14e-08,0.000426269,7.12e-08,4.04e-08,0.000701427
"igg",8.42e-08,9.76e-08,1.32e-07,3.23e-08,2.16e-08,0.000452704,0.00104228,0.000321927,0.00174486,6.75e-08,3e-08,4.77e-08,5.81e-08,0.0157439,4.89e-08,0.00142055,0.000974217,7.12e-08,0.000230559,0.00134811
"igm",8.42e-08,9.76e-08,1.32e-07,9.73e-06,0.00064149,0.000308319,0.00145007,0.000844895,0.00052602,6.75e-08,3e-08,4.77e-08,5.81e-08,0.0115668,4.89e-08,0.000625435,0.000739382,7.12e-08,4.04e-08,9.11e-08
"il-6",8.42e-08,9.76e-08,1.32e-07,3.23e-08,0.0017106,0.00542031,0.00934913,1.01e-07,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,0.00014774,0.000548035,7.12e-08,4.04e-08,9.11e-08
"immun",8.42e-08,0.0038955,0.00777183,3.23e-08,0.00479915,0.0274175,0.00534674,0.00176009,0.00539301,0.00226809,0.0028305,0.00140238,0.00100457,0.00617727,0.000548004,0.00187624,0.00297466,7.12e-08,0.00665273,0.0151016
"immunoassay",8.42e-08,9.76e-08,1.32e-07,3.23e-08,2.16e-08,3.9e-08,0.000785526,1.01e-07,8.35e-08,6.75e-08,3e-08,4.3e-05,5.81e-08,0.00568168,4.89e-08,0.000242022,8.7e-08,7.12e-08,0.000141587,9.11e-08
"immunochromatograph",8.42e-08,9.76e-08,1.32e-07,3.23e-08,2.16e-08,3.9e-08,1.51e-07,9.06e-05,8.35e-08,6.75e-08,6.02e-06,4.77e-08,5.81e-08,0.00246034,4.89e-08,3.14e-08,8.7e-08,7.12e-08,4.04e-08,0.000154932
"immunogen",8.42e-08,0.000361325,1.32e-07,3.23e-08,0.000110173,0.000210762,1.51e-07,1.01e-07,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,3.14e-08,0.000487152,7.12e-08,4.04e-08,0.00414435
"immunosorb",8.42e-08,0.00017583,1.32e-07,3.23e-08,2.16e-08,0.000234176,1.51e-07,1.02e-05,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,0.0021506,4.89e-08,0.000191738,8.7e-08,7.12e-08,4.04e-08,0.000437288
"impact",8.42e-08,9.76e-08,0.00664646,0.0121506,2.16e-08,0.00331307,1.51e-07,0.00583321,0.00395713,0.00427962,0.0180641,0.0171095,0.0131458,0.00159306,0.0165806,0.00600265,0.00338345,0.00282074,0.00693987,0.00324263
"impair",8.42e-08,0.000449192,1.32e-07,0.000303877,2.16e-08,0.00190825,1.51e-07,1.01e-07,0.00449976,0.00162009,0.000796756,0.000372096,5.81e-08,8.85e-08,0.00142375,0.00184482,0.00100901,6.42e-05,0.000444901,0.000154932
"implic",0.000185269,9.76e-08,0.00112551,0.00281868,0.00209937,0.00256384,1.51e-07,0.00305745,0.00352302,0.00106658,0.00561006,0.00830435,0.0017478,0.00173466,0.00261262,3.14e-08,8.7e-08,0.000555657,0.00193316,0.00251397
"import",0.00540411,0.0110615,0.0104463,0.010654,0.00853781,0.0112893,0.00314165,0.00492807,0.00498395,0.00631814,0.0133587,0.0172001,0.0111426,0.00786759,0.00834657,0.00451614,8.7e-08,0.00699475,0.0116635,0.0108936
"inclus",0.00061456,9.76e-08,0.000410563,0.00072732,0.00123544,3.9e-08,1.51e-07,0.00835753,0.0010937,0.00108683,0.00226141,0.00244221,5.81e-08,8.85e-08,4.89e-08,0.00113142,0.00600142,0.000676746,4.04e-08,9.11e-08
"increas",0.00179301,0.000117253,0.0064611,0.00450599,0.00666524,0.00914698,0.00898665,0.00377151,0.0033811,0.00903842,0.00679317,0.00465542,0.0118104,0.00100897,0.00954523,0.0072126,0.00438367,0.00465132,4.04e-08,0.00323352
"infant",0.00051355,9.76e-08,0.000437042,3.23e-08,7.35e-05,0.000124912,1.51e-07,0.00500853,0.000726376,1.36e-05,0.000751828,4.77e-08,5.81e-08,0.00046913,4.89e-08,0.000779429,8.7e-08,0.000192389,0.00151661,9.11e-08
"infarct",8.42e-08,9.76e-08,1.32e-07,0.000174581,2.16e-08,6.25e-05,1.51e-07,1.01e-07,0.00070968,0.00911942,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,0.000851712,0.000191434,7.12e-08,0.000149675,9.11e-08
"inflamm",0.000143181,0.00057611,0.00206553,3.23e-08,0.00459397,0.0103567,0.00286979,1.01e-07,0.00202869,0.00331436,3e-08,4.77e-08,0.000226509,8.85e-08,4.89e-08,3.14e-08,8.7e-08,7.12e-08,0.000335708,0.000628561
"inflammatori",0.000909172,0.000371088,0.00164185,0.000682067,0.00451406,0.0196753,0.0111162,1.01e-07,0.00717953,0.00879542,3e-08,0.000186072,5.81e-08,8.85e-08,0.000259349,0.00292592,0.00365307,7.12e-08,0.00294017,0.000355313
"inhibit",8.42e-08,0.0100071,0.00262159,3.23e-08,8.66e-06,0.00512373,1.51e-07,1.01e-07,0.000317315,0.000445573,3e-08,0.000166992,5.81e-08,0.000380631,0.000278919,0.00021688,0.00187877,7.12e-08,4.04e-08,0.00102932
"inhibitor",8.42e-08,0.0228941,1.32e-07,3.23e-08,0.00376244,0.0079763,1.51e-07,1.01e-07,8.35e-08,0.00122858,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,3.14e-08,0.0014004,7.12e-08,4.04e-08,0.00105665
"inhibitori",8.42e-08,0.00410052,0.00109903,3.23e-08,0.000123132,0.000702449,1.51e-07,1.01e-07,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,3.14e-08,8.7e-08,7.12e-08,4.04e-08,0.000555695
"innat",8.42e-08,0.000908049,0.0012579,3.23e-08,0.000479503,0.00594321,1.51e-07,1.01e-07,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,3.14e-08,8.7e-08,7.12e-08,0.000347841,0.00242289
"insomnia",8.42e-08,9.76e-08,1.32e-07,3.23e-08,0.000356393,3.9e-08,1.51e-07,0.000191185,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,0.00203531,3.14e-08,8.7e-08,7.12e-08,4.04e-08,9.11e-08
"intellig",0.00154048,0.000322274,0.000648878,0.000588328,2.16e-08,3.9e-08,0.000211598,1.01e-07,8.35e-08,6.75e-08,3e-08,0.00456002,0.000783928,8.85e-08,4.89e-08,3.14e-08,0.000174039,0.000356216,0.000671376,9.11e-08
"interlobular",0.002559,9.76e-08,1.32e-07,3.23e-08,0.000177127,3.9e-08,1.51e-07,1.01e-07,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,3.14e-08,8.7e-08,7.12e-08,4.04e-08,9.11e-08
"interquartil",8.42e-08,9.76e-08,1.32e-07,0.000452567,0.000207365,3.9e-08,1.51e-07,1.01e-07,8.35e-08,6.75e-08,3e-08,4.77e-08,0.000691025,8.85e-08,4.89e-08,0.00374931,0.000713289,7.12e-08,4.04e-08,9.11e-08
"interv",0.00194452,9.76e-08,1.32e-07,0.000332969,0.00594818,3.9e-08,0.00601129,0.00535047,0.000400797,6.75e-08,0.000308537,4.77e-08,0.00718844,0.00260194,0.00166348,0.00263993,0.00415753,7.12e-08,4.08e-06,9.11e-08
"intravascular",8.42e-08,9.76e-08,1.32e-07,3.23e-08,2.16e-08,0.000351244,0.000966766,0.000150957,8.35e-08,0.00448212,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,0.000502869,8.7e-08,7.12e-08,0.00032762,9.11e-08
"intraven",8.42e-08,9.76e-08,0.00107255,0.000843687,2.16e-08,0.000975609,1.51e-07,1.01e-07,0.00118553,0.00214659,3.6e-05,4.77e-08,5.81e-08,8.85e-08,4.89e-08,0.00129169,0.00482725,7.12e-08,0.000533873,9.11e-08
"intub",8.42e-08,9.76e-08,1.32e-07,0.00122834,0.0035011,3.9e-08,1.51e-07,1.01e-07,8.35e-08,0.00162684,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,0.00123827,0.00165263,0.00553456,4.04e-08,9.11e-08
"ischem",8.42e-08,9.76e-08,1.32e-07,0.000533377,0.000900669,0.000101498,1.51e-07,1.01e-07,0.00162798,0.00502888,3e-08,4.77e-08,0.000394896,8.85e-08,4.89e-08,0.000323733,0.000165341,7.12e-08,4.04e-08,9.11e-08
"isotherm",8.42e-08,9.76e-08,0.000370844,5.18e-05,2.16e-08,3.9e-08,1.51e-07,1.01e-07,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,0.0023453,4.89e-08,3.14e-08,8.7e-08,7.12e-08,4.04e-08,9.11e-08
"keyword",8.42e-08,0.000546821,1.32e-07,0.000365293,2.18e-06,3.9e-08,1.51e-07,0.00500853,0.000258877,0.000155319,3e-08,0.00110665,5.81e-08,8.85e-08,0.000337628,0.000462013,8.7e-08,0.000484428,0.000578359,9.11e-08
"kidney",8.42e-08,9.76e-08,1.32e-07,0.00059156,0.00224624,0.00266139,1.51e-07,1.01e-07,0.000334011,0.00427962,0.000173752,4.77e-08,5.81e-08,8.85e-08,4.89e-08,0.00592723,0.00240932,7.12e-08,0.00151661,0.000746969
"korea",0.000134764,9.76e-08,1.32e-07,3.23e-08,7.13e-05,3.9e-08,1.51e-07,1.01e-07,8.35e-08,6.75e-08,0.00124304,0.000381635,0.00477296,0.000221334,0.000445262,0.000656863,8.7e-08,0.000427445,0.00182801,0.000510154
"laboratory-develop",8.42e-08,9.76e-08,1.32e-07,3.23e-08,2.16e-08,3.9e-08,1.51e-07,1.01e-07,8.35e-08,6.75e-08,1.8e-05,4.77e-08,5.81e-08,0.00152226,4.89e-08,3.14e-08,8.7e-08,7.12e-08,4.04e-08,9.11e-08
"lactat",0.000454628,9.76e-08,0.000675357,3.23e-08,0.00193091,3.9e-08,0.0116146,1.01e-07,8.35e-08,6.75e-08,8.39e-05,4.77e-08,5.81e-08,8.85e-08,4.89e-08,0.000245165,8.7e-08,7.12e-08,4.04e-08,0.000236906
"ldh",0.000589308,9.76e-08,0.00011929,3.23e-08,0.000477343,0.000105401,0.01021,1.01e-07,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,0.00117227,8.7e-08,7.12e-08,4.04e-08,9.11e-08
"letter",8.42e-08,0.000117253,0.000384084,0.000197208,0.00203674,3.9e-08,1.51e-07,0.000472783,8.35e-08,6.75e-08,0.000410374,0.000271929,5.81e-08,8.85e-08,4.89e-08,6.32e-06,0.00408795,0.000534288,4.04e-08,9.11e-08
"leukocyt",0.000353618,9.76e-08,1.32e-07,3.23e-08,2.16e-08,0.00082342,0.0042593,1.01e-07,8.35e-08,0.00017557,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,0.000886282,8.7e-08,7.12e-08,4.04e-08,0.00137544
"lipinski",8.42e-08,0.00165003,1.32e-07,3.23e-08,2.16e-08,3.9e-08,1.51e-07,1.01e-07,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,3.14e-08,1.75e-05,7.12e-08,4.04e-08,9.11e-08
"literatur",0.00181826,0.00132785,0.00250244,0.00603491,2.16e-08,0.00239604,1.51e-07,0.0264502,0.00709605,0.00507613,0.00492415,0.00730268,0.000754896,8.85e-08,0.000782841,0.00367074,0.00375744,0.0046442,0.00924101,9.11e-08
"loop-medi",8.42e-08,9.76e-08,1.32e-07,3.23e-08,2.16e-08,3.9e-08,1.51e-07,1.01e-07,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,0.00182315,4.89e-08,3.14e-08,8.7e-08,0.000128283,4.04e-08,9.11e-08
"lopinavir",8.42e-08,0.00367095,1.32e-07,3.23e-08,0.000235443,3.9e-08,1.51e-07,1.01e-07,8.35e-08,0.000324071,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,0.00215909,0.00732345,7.12e-08,0.00118903,9.11e-08
"lymph",0.00305563,9.76e-08,1.32e-07,0.000129328,2.16e-08,3.9e-08,1.51e-07,1.01e-07,0.000509323,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,0.000330018,2.62e-05,7.12e-08,4.04e-08,0.000409963
"lymphadenopathi",0.00251691,9.76e-08,1.32e-07,3.23e-08,0.000125291,3.9e-08,1.51e-07,0.000291756,0.000283922,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,0.000103742,8.7e-08,7.12e-08,4.04e-08,9.11e-08
"lymphocyt",0.00613643,9.76e-08,1.32e-07,3.23e-08,0.00157021,0.00285261,0.0289986,1.01e-07,0.00192017,0.000756076,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,0.00592723,8.7e-08,7.12e-08,4.04e-08,0.0011113
"maculopapular",8.42e-08,9.76e-08,1.32e-07,3.23e-08,2.16e-08,5.47e-05,1.51e-07,1.01e-07,0.00240436,9.46e-05,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,3.14e-08,8.7e-08,7.12e-08,4.04e-08,9.11e-08
"magnet",0.000353618,9.76e-08,0.0022906,0.000223067,2.16e-08,3.9e-08,1.51e-07,1.01e-07,0.00229584,0.000587324,3e-08,4.77e-08,0.000139413,0.000380631,4.89e-08,0.000292306,1.75e-05,7.12e-08,4.04e-08,9.11e-08
"male",0.00696134,9.76e-08,1.32e-07,0.000785504,0.00923759,0.00288382,0.00576963,1.01e-07,0.00477525,0.00127583,0.000835693,4.77e-08,0.00159683,0.00169041,0.00628196,0.00848855,0.000765475,7.12e-08,4.04e-08,9.11e-08
"manifest",0.0111532,0.000263696,1.32e-07,0.000242462,2.16e-08,0.00119804,1.51e-07,0.0023434,0.0205617,0.00647339,0.00057511,4.77e-08,5.81e-08,8.85e-08,4.89e-08,0.00638292,0.000974217,0.000299233,0.0084807,0.000719644
"marker",8.42e-08,9.76e-08,0.000370844,3.23e-08,2.16e-08,0.00231409,0.00412337,0.000181128,0.00157789,0.00385436,3e-08,0.000310088,5.23e-05,8.85e-08,0.000234887,0.0048807,0.00128733,7.12e-08,4.04e-08,0.000191365
"mask",8.42e-08,9.76e-08,1.32e-07,0.000481659,0.000946025,3.9e-08,1.51e-07,0.000854952,8.43e-06,6.75e-08,0.00104536,0.000734604,0.0020207,8.85e-08,0.00343455,3.14e-08,0.00157435,0.024745,0.00115263,9.11e-08
"materi",0.0098822,0.00393455,0.00818227,0.00572137,0.00267605,0.000448801,0.00812576,0.00511915,0.00170311,0.00130958,0.00193194,0.00395902,0.00739747,0.00242494,0.00580739,0.00247022,0.0111156,0.0095305,4.04e-08,0.00282365
"matern",0.000564055,9.76e-08,1.32e-07,2.59e-05,0.00134991,0.000171739,1.51e-07,0.00862908,8.35e-08,6.75e-08,0.000865646,4.77e-08,5.81e-08,8.85e-08,4.89e-08,3.14e-08,8.7e-08,7.12e-08,4.04e-08,0.00037353
